,sales,pop3mi,inc3mi
0,3104,81091,45834
1,1664,182381,35875
2,4312,116345,56149
3,3807,135325,48502
4,3187,111246,61989
5,3877,118329,58673
6,3877,64222,49429
7,2575,150982,33792
8,3933,133281,68709
9,3207,81495,61567
10,3899,76547,91781
11,2831,54496,67161
12,2917,51425,31273
13,2250,102122,53474
14,2533,120915,26588
15,2216,216663,43296
16,1328,63234,47911
17,1551,15432,47644
18,2334,459473,47320
19,2085,396904,38957
20,2844,389167,38821
21,2296,527877,51200
22,3560,387887,39480
23,2141,99660,54657
